1 0.312567 0.5282 0.000384907 0.00054997 0.000650445 0.000113658
1.5 0.998636 1.41866 0.00132098 0.00133767 0.00187659 0.000461609
2 3.17476 3.17214 0.0044766 0.00234003 0.00447291 0.00213463
2.5 10.5913 7.02783 0.0141397 0.0044262 0.00938237 0.00867526
3 35.6798 16.9603 0.0429988 0.0128218 0.0204393 0.0284751
3.5 109.519 42.7182 0.12383 0.0397951 0.0483003 0.0808607
4 269.708 97.5177 0.298027 0.0992801 0.107757 0.191428
4.5 518.653 187.548 0.573129 0.190913 0.207247 0.368141
5 831.904 310.67 0.928166 0.304434 0.346618 0.600814
5.5 1189.75 462.733 1.34402 0.432497 0.522734 0.877186
6 1579.32 640.58 1.8077 0.570806 0.733214 1.18772
6.5 1989.27 841.677 2.30786 0.715839 0.976477 1.52365
7 2408.95 1063.06 2.83315 0.864665 1.25026 1.87579
7.5 2829.67 1301.16 3.37309 1.01532 1.55104 2.23526
8 3246.86 1552.07 3.92013 1.16729 1.87391 2.59541
8.5 3659.02 1812.2 4.46957 1.32077 2.21364 2.95231
9 4064.59 2078.76 5.01748 1.47559 2.5661 3.30316
9.5 4464.09 2349.33 5.56212 1.63189 2.92718 3.6472
10 4857.84 2622 6.10218 1.7895 3.29363 3.9842
11 5628.34 3168.45 7.1649 2.10725 4.03345 4.63723
12 6368.74 3714.38 8.19647 2.42584 4.78036 5.25769
13 7052.79 4289.34 9.19116 2.75397 5.58985 5.82301
14 7792.83 5047.02 10.3371 3.18862 6.69479 6.40448
17 10182.7 7373.21 13.8804 4.65655 10.0507 8.17918
19 11675 8705.07 16.0117 5.52865 11.9386 9.29162
21 13129.2 9896.01 18.0442 6.30162 13.6007 10.4097
23 14406 11441.7 19.9819 7.40874 15.8702 11.1863
25 15995.8 13166.5 22.3032 8.6535 18.3582 12.214
15 8627.52 5879.2 11.596 3.6974 7.90208 7.03362
